Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Aruba,0.6180999659780309,0.11723633970502491,0.003674101298171741,0.024003903357586138,0.04182151448544543,0.04300185439496208,0.0002992563881536153,0.005865920413423215,0.005226932254548659,0.024863672011604936,0.09518046373315166,0.0013047641495747058,0.0017176460063524814,1.0405396608738218e-06,0.0056423416009345135,0.0003319006434395982,0.0001210025305758921,0.005046031757352395,0.0004920012793984552,0.0017813301351035584,6.0598797982384636e-05,0.001459996048158993,0.0021795230335047294,8.623172244114642e-05,0.0001509712693078962,0.0003493072489278951,5.827705496960519e-07,8.064466316647067e-07
Australia,0.0694955529021337,0.21927280408275837,0.060017375603590446,0.008260116850634781,0.15528200040721132,0.00011429567264682931,0.059645236737972215,0.040934476359233175,0.15200873752385574,0.0052124986319734765,0.05168051067062126,2.1031489907595197e-05,0.002278961782820311,0.15222243719010747,0.005110382231262809,0.00909505512982444,0.002999195943822478,0.0004612733116248544,0.0034134889893854678,0.00016366887018288132,0.0011163036561876102,0.0005403844929291737,9.735509352973716e-06,1.276762407812333e-06,0.0005334782603564165,0.00010822102566822345,1.5608355403022042e-08,1.4843031726228004e-06
Austria,0.24442797404928565,0.10356821942893628,0.0007359477076179921,0.14375590226854926,0.19151501710621316,0.2810772823507414,0.0005782659867120803,0.01794607684137721,0.00012291817227819553,0.0005000594737607153,0.0006937534409102163,2.1291066474952174e-05,0.006113332495604079,0.00016715020248821827,0.00121511161095443,1.579513260490079e-05,0.0020231079956670645,2.2940925670646682e-05,0.0009163363277053883,0.0014217046074953786,0.00033745737519612595,0.0011931569178316823,0.00013984212935614458,0.0005520020834477127,0.0006896347585833391,0.0002483496381496315,6.755235935452736e-08,1.302354028557143e-06
Azerbaijan,0.6867852551626877,0.14142417598968407,0.0032560270013793535,0.009889859275376814,0.04827858212069986,0.058559577647147656,0.015225482743539066,0.007328264284717741,0.0007432501983215952,0.003129776412593139,0.0057687309484885365,2.677021948564978e-05,0.007744371670299787,0.00012693886964362927,0.0009800286331988766,0.0033744755865894836,0.001434132090344865,4.372417563816623e-06,0.002460967614553223,0.00023015056389343668,0.0022099390634041922,0.0005679378353617575,0.0004306138844006184,1.222047888791964e-05,1.3205654908888718e-06,4.424710930452157e-07,6.2188641619162285e-06,1.1738699124990773e-07
Bahamas,0.8313905967827591,0.12872349433192964,0.002944739664676635,0.0003390754049448115,0.010183028980578298,0.010133122947091903,0.002016664843189367,0.0003542472495146859,0.002744003577070214,0.0036725032724660494,0.002266136328874207,0.0002028378305075459,0.0036277897676805027,6.529680734625199e-05,0.00023514685334306688,5.352432210905204e-05,0.00013280257492047972,0.00020769628458911394,6.213355786323091e-05,6.288033800058968e-05,3.9819662102227996e-08,3.133470102622565e-06,0.00022659272290273929,0.00019383591612380407,0.0001519034864679762,3.4617451880846134e-06,3.1688103941331547e-06,1.4230970370355588e-07
Bahrain,0.46574033391823466,0.11742221825632987,0.0018231952524350669,0.06279690821750247,0.14254599419892186,0.12431920190611459,0.005107548033205175,0.015299677588252418,3.265604866038455e-05,0.009190571620405137,0.0019569507908953135,4.642755503952498e-06,0.002834987538223248,0.0001022927386640925,0.005630099066451288,0.0012980375769005477,0.005469763651720452,0.005066536474997673,0.028456977137726096,0.0009380456731549759,0.0024618764399099,0.0007090884002539142,0.0005232353839317495,5.438020144960673e-06,0.0002493478444221792,3.4183917226891015e-06,3.852953246593333e-06,7.104122068704835e-06
Bangladesh,0.17107500793180108,0.0007243535101049607,0.11733015202912243,0.3408113995819061,0.022543293204461537,0.0025542720148706427,0.0003156117000758835,0.0005340358240368468,0.007352661240791979,0.004550710868605771,4.6610212560045414e-05,0.08267397795384702,0.1777824492551586,0.007730269298307404,0.0027663982698181125,0.03140952004204516,8.162790452396675e-05,0.003152366240000786,0.01805489474763366,0.005553979578354899,5.098876691084512e-07,7.349808920526119e-05,0.0024974860153061202,4.982691036732615e-05,0.00011736751044374907,0.00011589922659436883,9.020417554796154e-05,1.161677683921698e-05
Barbados,0.7569197795988141,0.10552073377446146,0.0031609654625071927,0.019059741602435832,0.005236209384837262,0.08872227840966952,0.0005598561608293686,0.0035947393780560158,0.005170759485620759,0.0035716482799741244,0.001258209794360533,1.4479797155264174e-06,0.003584330085312036,0.0006347204218642058,0.0017974594057024247,3.6430714755087897e-06,0.0003367718043844242,5.7624987351982543e-08,0.00013776684997643716,1.6797651976697814e-05,4.810127917745162e-06,1.191235111831346e-07,0.00028644713557266703,0.00011753548254388773,0.00029271573679258303,5.184177469474255e-06,5.208489771226931e-06,6.349946049729089e-08
Belarus,0.00813075268343322,0.004313413231637517,0.14062928687922915,0.25878185746058685,0.17623645140768146,0.27141400207218236,0.002892942734632682,0.010905007714437373,0.005978727857392201,3.3276426756221255e-07,0.001985341462004665,0.02620042339602387,0.07866785959881109,4.248916499094439e-07,0.0015056427245384572,0.00025782164466138594,0.0026722626941833244,0.0020552739919949647,0.0035233073226172557,0.0027359172459144976,8.176585824445858e-06,0.0007813761010948019,9.203491167606706e-05,0.00016695102706264358,5.370065016890725e-05,1.9474265534431425e-06,7.1243345645349735e-06,1.6391851753664817e-06
Belgium,0.12010899789529386,0.0741629653736216,0.00037290365344916495,0.16903387760765567,0.2203983398393096,0.35399739903276817,0.00010876121053673929,0.045689035064558625,3.970676162571577e-06,0.001223088410397158,0.0059545895496929385,0.0008821733581941799,0.003581720165022835,0.000177530425238747,0.00013980670320460947,1.4804156523367385e-05,0.0006361509973209907,0.0016535053324417384,0.00042195940962551197,4.5678756224264275e-06,0.0008790305108466443,3.991071589428831e-05,0.00024229960851080012,0.00018865551273983483,6.686077735647451e-05,1.5853327275749164e-05,9.854418771248763e-07,2.5736885842455385e-07
Belize,0.6990759056882854,0.0984318910360023,0.003884154371290819,0.018402764624385646,0.09333930711812766,0.007351636290955649,0.00786378889361877,0.0006989711517244036,0.00306533294175416,0.006299884540628119,0.004970271763344252,0.008607055841495573,0.00011178379022902033,0.003558293532015224,0.008333115049144468,0.00036721856765217846,0.021436587611558776,0.0071354399298496725,0.00023927184836110843,0.005366392885027869,0.0007950107421848076,1.8272305167483406e-05,8.650725177572433e-06,0.0006347369438718375,1.6561623102623077e-06,5.378676402240764e-08,6.601913847497204e-07,1.8916676882075512e-06
Benin,0.6074699232222462,0.04219342918554264,0.005530088056050807,0.06556748909215256,0.08099855622579798,0.15173281171842645,0.006511486882031556,0.005320902764412761,0.01845998711648544,0.0013700976721113553,0.00278323275140738,3.337211324465872e-06,0.0024854822830063456,0.0007719640839071938,0.006175224315691768,0.00028204697200162544,3.154532594637984e-05,8.04848836328404e-06,0.00010554783798550068,0.0017410605369411344,0.0001350360087714295,4.976272859822031e-05,6.210481820469162e-05,6.723015709925001e-05,0.00010907638401960447,2.7416801026779486e-05,7.10613578989478e-06,5.224657012664212e-09
Bermuda,0.41446021946988754,0.03070284448313104,0.0108678864461358,0.030387196559252684,0.1364660929536416,0.0541317638777201,0.07520937069022886,0.051396509821758744,0.024787391700689745,0.0072150841135380245,0.11762645343316198,3.655346772713244e-05,0.001051620388714937,0.005368848479212229,0.0028881940747370748,0.01327732800202798,3.800701350501912e-05,0.01132701082676307,0.00020368100679077477,0.00010746057720394065,0.0001747702945251951,0.009993377733922506,0.0010764125842792362,0.00040107314099830103,0.0001411267422420318,0.0006128259913884365,4.8315657615710355e-05,2.580469200424645e-06
Bhutan,0.6831580320121564,0.11125862005808801,0.004156086948761141,0.020046048289019614,0.006664877163083627,0.13328958521174453,0.0007965273547094368,0.01572961882711072,0.005636804529423779,0.004441589455002656,0.002188265446494209,0.001948281674395552,0.0007182609780132887,9.614024705278417e-05,0.0006330288482525084,1.2545517698344894e-07,0.004175855692371876,0.002388478563314433,0.00022275693205072233,0.0016359924504188586,0.00015654569705634706,1.25425541701722e-06,0.00011703820508076774,0.0005074347850575708,2.6685074511772735e-05,5.184701680301026e-06,8.747459396051994e-07,6.398615492183104e-09
Bolivia (Plurinational State of),0.015661758325693692,0.7300040707035014,0.103018951041026,0.0063976019675700746,0.054303463037568965,0.033282992394824344,0.02917381094830791,0.002738776304159691,0.010134953507398086,0.00013861549734507365,0.0002697769556108253,0.002248622919476209,0.0006318855154899749,0.0009355621047565171,0.00028480133029160326,0.0008776663603731124,0.0001260163575405532,0.0006400924804461737,0.0016256803850156778,0.0002883725087396362,0.0007235146855853817,0.00495144290417938,8.295449197625486e-06,0.0010737813749183282,1.3736655060120383e-05,0.0004336240799317681,1.0353000155775841e-05,1.7812058361313583e-06
Bosnia and Herzegovina,0.6218244250456426,0.11761183291020041,0.0011500938774303459,0.038731653517361964,0.09507742845689524,0.09830397001630187,0.0021124458853159583,0.009948163308472214,0.00014077625460088902,0.0018397215478477612,0.0010133473965987672,4.1334627340589207e-05,0.008597769044466033,0.00040784912956315166,0.001617348799928065,2.9813661619760004e-06,2.0084274058858473e-06,0.00010659941702050992,0.0001759796833418616,0.0005145423774527957,0.00031340309040274326,3.2250003600820655e-05,2.807384647655846e-05,9.53306045255344e-05,0.00028317702881878776,2.7438631780448914e-05,5.12135888280622e-08,4.491457635538578e-09
Botswana,0.18154312840808712,7.208968467741594e-05,0.0019885299691733025,0.11150279232320238,0.18600279894902358,0.412413126390156,0.011847737399609376,0.02347968385702469,0.06146326139747771,0.0022776538198059464,0.0003454570885971815,1.0312263013265175e-05,1.584377245162281e-05,0.00019876227910824642,0.0033607291865616748,0.00025832129377681635,0.002266631922884632,6.611823223778351e-06,0.00037379384170521223,4.137340191591035e-06,2.1461892662093864e-05,2.292008377805918e-05,0.0003469503693965373,8.180469110986587e-05,1.64943655134946e-05,6.521305994619455e-05,1.3608657574501919e-05,1.4387026750179544e-07
