Factor de risc,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
On-farm Electricity Use,0.013899128190614089,0.03022997054422448,0.032276433211644875,0.04443019899607683,0.21262380124702973,0.2341376699609785,0.23664720116916374,0.2546580394848765,0.25816037453853635,0.26374069523379134,0.2850854395451536,0.28615244250148186,0.3097693824521433,0.3534005120842226,0.3626620028292506,0.3626628346933894,0.57680420596373,0.578458500241185,0.9578534397858032,0.9580597727067693,0.9607691342005182,0.9735872340385147,0.9781274979831074,0.9875843911622101,0.9939628798391923,0.9997324373363831,0.999891885809158,0.9999999999999992
Food Packaging,0.0005771020118106009,0.0009685839999125327,0.5373734532431492,0.5944022925655581,0.5956442260530762,0.6240442035944411,0.7491564185141643,0.7492021869507656,0.7536307474078768,0.773526396172084,0.8548275407402232,0.8635614780091145,0.8658409578377767,0.8669315444890303,0.9303474300882326,0.9383183961144587,0.9417142959820731,0.9421525203494873,0.9582479445307611,0.9685995710415104,0.9699442386433135,0.9739206285292966,0.9769675789590619,0.9771994744940715,0.9790520116921941,0.9795502126448157,0.9999001555908688,0.9999999999999993
Agrifood Systems Waste Disposal,0.00868200833548664,0.008867540080793448,0.12067131219262628,0.3919097487899142,0.3933290059316645,0.39452942011235537,0.433332515800878,0.43420388003688626,0.4440234605743311,0.4441124950849108,0.527375598002481,0.5281015534267827,0.5557850567257258,0.5565123929080912,0.6013137409964826,0.6074042509686542,0.6147839514291523,0.6287787065654992,0.6287819522070565,0.9482590726813191,0.9538291778884471,0.9776068551094163,0.9919336197304244,0.9961996525858849,0.9966647681543995,0.9976707969216534,0.9995217494101795,1.0000000000000002
Food Processing,0.29507399853568417,0.2952528768549531,0.3035479770526554,0.30658914500693357,0.33091564333224205,0.33162443519657364,0.3348346214174007,0.36254192187052947,0.36310412309575635,0.36756399452264654,0.37491744926339404,0.37670100868174694,0.4414375784506118,0.4435715323880649,0.493628248636438,0.49580239405975046,0.5307827885956735,0.5433055680997445,0.5577030830212406,0.5599326358264209,0.9586926783229341,0.9588073101250235,0.9608956550996665,0.9847506325398439,0.9882652410748737,0.9931851296021871,0.999147572075843,1.0000000000000002
Fertilizers Manufacturing,0.016825241024032288,0.06469821938233183,0.11128183097966077,0.14606392456690198,0.15574964404223884,0.22929476743404997,0.25461753323771735,0.2609823252761203,0.2616151487728028,0.3376740415821203,0.358132602386065,0.36505221950778444,0.3696077735962935,0.5597463875558439,0.7542620673393068,0.7542955946381555,0.7554475638137574,0.7564476558376729,0.7583474252060094,0.7792862172481444,0.8121467692170152,0.9051731659857142,0.9383771528012446,0.9533620732722937,0.9733960825341231,0.9993700533422644,0.9996326848654251,0.9999999999999991
IPPU,0.06844226308817923,0.07337358619853965,0.07352564784788534,0.07401852792001958,0.10305435074160615,0.1038520341494043,0.11509795701953507,0.11555294959925541,0.11680493591844322,0.31560433095213286,0.4343194613552109,0.4351969355558717,0.6213370550627637,0.6410916910254982,0.6417926519063029,0.6467002460007691,0.7369651323254897,0.8388902012287581,0.8439688061178519,0.8584303478366775,0.9383300613813665,0.9413344173206827,0.9437848566420792,0.9718431078881715,0.9827776654263459,0.998823192375809,0.9993083204682557,1.0
Manure applied to Soils,0.00892170346235094,0.008922470043393096,0.01572119752689978,0.05233715411256473,0.06307073857663767,0.06391776822597607,0.06638645254438386,0.06661499407635083,0.07718901198739087,0.09797344581462766,0.2767026014551429,0.28350433969854166,0.28365976675448706,0.2880836249818244,0.5452033744012377,0.5555429468166343,0.5949913566089214,0.5950970328967284,0.6128610079175296,0.6341120098830587,0.6447611745339885,0.935168386212498,0.9642188991172048,0.966587106600441,0.9811899635167188,0.9978683813568592,0.9990131845534561,1.0000000000000002
Manure left on Pasture,0.0014133585579334184,0.2060201974711854,0.20602434046256082,0.23271686747872128,0.2564156351061401,0.2578481113988266,0.2587893563730442,0.2592191115227092,0.2804792269694108,0.30933633833717594,0.31434722640731855,0.32816254760863756,0.36082100369644465,0.5573623499419522,0.6414931137170932,0.773777502424207,0.7812665215082764,0.7818579637545242,0.7818694986491609,0.8240148230124518,0.8255354226096936,0.9142438008721082,0.961510650835856,0.9705668393180896,0.9750358244485873,0.9799295512450491,0.9999997586022786,1.0
Manure Management,0.0014996406599861116,0.42778245181629837,0.46615280522646946,0.4714819119300263,0.530366440653947,0.5308078644047012,0.5326632814588627,0.5330378113612189,0.551486419447858,0.554096624468149,0.6098058242249879,0.6361133643489713,0.6434811832086716,0.7570364511469652,0.7585600463863872,0.7685419103021659,0.8286117240336889,0.8290610601828801,0.8693370501856679,0.8807520531857432,0.8813326475027965,0.9594143428862316,0.9830853844654939,0.9834302070185976,0.9875876592228419,0.9956692712077057,0.999838363986448,1.0000000000000004
Fires in organic soils,0.00804568110876402,0.00832531244925492,0.008787899004677729,0.010793448230115164,0.013040498688546428,0.06133908142111748,0.06976604586781256,0.06979949550276697,0.10932425578193675,0.2928739500015439,0.31250049228799354,0.3459936989505703,0.5475801458902657,0.577285737378269,0.6678570563595092,0.6978392442118523,0.7904933227399552,0.7907506161123805,0.8468047085037012,0.854107728025969,0.8606903012938879,0.873460602246042,0.9362468713716426,0.9386133749945991,0.9696758785858761,0.9991624854650197,0.9999195478307912,0.9999999999999998
Fires in humid tropical forests,0.00011262946689693349,0.02045034649490756,0.042772020360771684,0.04447717122999008,0.04451070882646353,0.0841235245011004,0.10114966155228886,0.10139764396631873,0.24298220297324902,0.4483643080786972,0.47239519955105935,0.47247076950420935,0.4764886677867368,0.6529007092598869,0.6619182114521865,0.6625440690083054,0.6641393546125236,0.6688492348119615,0.7379597529403864,0.7426793617539279,0.7426960301102359,0.9617644074716669,0.992297884505234,0.9938188620860618,0.9955206698197101,0.9986617559043189,0.9999995695347583,1.000000000000001
On-farm energy use,2.0366998966953552e-05,0.011109345993263433,0.018216858843417304,0.018322130282087026,0.020571338033593782,0.024624076722234736,0.026149071315909208,0.02621183461184844,0.2780989988764124,0.3296486766846581,0.34305317754394565,0.4266370288804013,0.42721297907610234,0.4592665489375986,0.4600764088768121,0.9652599745064165,0.9652967499283427,0.9664939960283847,0.9756160166411714,0.9757094361158104,0.9760550867205202,0.976760362070484,0.9779494867791145,0.979387529360106,0.9797443757811803,0.9798761154265818,0.9999999902561503,1.0000000000000009
Rural population,0.002364072277064354,0.023858065675099335,0.024625682208567673,0.02547018264200527,0.025655517842346317,0.033385079890989974,0.041707643770323065,0.04179186234238541,0.07285844245331934,0.08822017006804507,0.09412021218965294,0.12303994673137238,0.37413917454681966,0.4072203075392263,0.4096300865517663,0.41058210785983573,0.697603775920168,0.6977414382300158,0.8793878160370108,0.8836378401697512,0.8848719546911114,0.8859089087130824,0.885914665301335,0.9313477256530608,0.9534301466467188,0.9759501770953894,0.9999438666211121,1.0
Urban population,0.00021939701557833832,0.0003479422165314705,0.003460997334513125,0.0036670199554785596,0.006265783814117302,0.01163641068838521,0.01482673830095645,0.015489931648155464,0.13635303963010575,0.14533764410140781,0.1621943593816358,0.1951813631392301,0.2008333139598983,0.20229072284400768,0.20648897323003107,0.28584487596678093,0.3575092457850379,0.35797138882451285,0.3978606152256722,0.3979776785725726,0.3982953577850151,0.3988710471617423,0.5950891174947046,0.9830664152936903,0.9889263570269752,0.9946796384191564,0.999958259096722,1.000000000000001
