Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Senegal,0.0002037800511820097,0.00018595035916410923,5.482421579546712e-06,2.248261305792218e-09,0.00022867388620419551,0.00041207401921047144,0.00041755385962359196,0.00025634368380339755,0.00014219168486034295,8.00417866413549e-05,5.351913815353463e-05,7.621692307788855e-07,0.000322637000124759,1.853516220395403e-05,0.0008554946053238386,0.0002946521613306021,7.520747417617748e-05,0.00011652933446748151,0.0005469949988272117,0.0004973491353278703,0.0008060442639035531,5.784328624440273e-06,0.0002949825059044084,0.00025972674951022336,4.780977874421109e-07,0.0007998294319752387,0.00012141518470149508,0.00031858733702126816
Serbia,0.0001722127546906715,0.00026126443056953303,8.728920444044051e-06,0.0002305750369252436,0.0005561407812992339,0.0008636252848475216,4.48610931542209e-05,0.00028165166148715905,0.00022201731867323865,0.00028925021121203637,0.00011983831458537877,4.8718230524825815e-05,0.0016348365334502093,2.3783381603255718e-05,0.00041557636854927955,3.5008762652891474e-06,1.6964229224947884e-05,0.0009423770422494105,6.453410511495247e-05,0.0004422867829760599,0.00023850233372083715,0.0002487920661393579,0.00015268435474260887,0.0007540335585210209,0.004064907643938343,0.002666813928446607,0.0006082959519700039,0.0003218352042938571
Seychelles,0.0002889174702066344,0.00030492218793929835,9.182147923042514e-06,1.5917838779902055e-05,3.64587318083829e-06,0.00010335179400503649,4.8695540048533005e-06,4.50118517240375e-05,0.00010612164477237287,0.0014495340867608406,4.305320695360563e-06,1.7731503378897932e-05,0.0004656911045029484,1.868965357874371e-05,0.00015157144491082376,9.736417346271563e-05,4.7414242105859385e-05,0.0047125418043402,0.011183249258742626,1.3684540926477714e-05,0.0011366432408562077,0.0007477650580328552,0.000745331563083743,0.0006467088369810397,0.005086711214828219,0.0013698642592075733,0.00061349089848006,6.132865071479009e-06
Sierra Leone,0.0002841155654040734,0.0002709216758089299,4.035214319953098e-06,8.630040144647418e-07,0.00019168395793063225,2.116653163800159e-05,0.00013103479273132324,2.0706770482455714e-05,7.655082549684734e-05,0.0001732000805623628,7.838052494460226e-05,3.831694305474682e-05,0.0004095231864532603,3.366359884303158e-05,0.0004712746429259693,9.514100717321938e-06,3.2235185389444176e-08,1.6515047923629013e-06,5.06346885339929e-05,0.0007174658584705484,4.948621354378102e-06,3.0352770097634276e-05,0.00013101088752997115,0.00040457675596260265,0.0007231016141437988,0.0002079530958987578,0.00014114209729033415,9.948112818768496e-08
Singapore,0.00018086202256687754,0.00034828701824400653,2.39577329519673e-05,5.810918512598895e-05,0.00011702365172562599,1.3841508235850216e-07,5.26573503168202e-06,0.00018113516189728515,0.00026127466467921144,0.0007617438503655786,0.0006979139489616442,7.283720270127384e-06,0.00020063719724151973,1.9242192537589502e-05,0.0010035368482658547,0.0009212794364867015,0.00011928432991144153,0.0026954306897233214,0.014932274036299329,0.00014582963433973814,0.005649071783313888,6.312934820305733e-05,0.0039963943182000335,1.0695372608581743e-06,0.006914323567714443,0.004126852760330213,0.0010298034231156488,0.006555197907934334
Slovakia,0.0002619091746508895,0.00037561192005157505,2.1240577813152006e-06,0.00032734405164942733,0.0015944040699804696,0.0017867662164754478,7.59818858877164e-05,0.0006903529081765063,2.905875838775392e-06,6.943263288212528e-05,9.020995878657984e-05,3.142278522341929e-05,0.0012226446968849058,2.8874461233888375e-05,0.0001278303431951304,5.856987475228183e-06,4.110343235752973e-06,0.0005448743342447055,0.00018493645537545362,0.0011176718824469707,2.6285966537557563e-05,7.618163922341263e-09,3.882441734628558e-05,0.0001678809453335364,0.004611323448490813,0.0006289718205691242,2.8399429736764095e-05,0.00043832500555536405
Slovenia,0.0003004621782468709,0.00036675288293276236,1.531034464852573e-06,0.0004718135830171658,0.002086370996557394,0.002463388957274787,0.00013897109000653385,0.0007756376454757636,3.1419344651719407e-07,5.4117481622891346e-05,6.133370902405098e-05,2.5106279624002002e-08,0.0012621327401701363,1.0194685772226218e-06,0.0001701646484442094,4.441483917991598e-05,1.5393956788840996e-05,5.2257269623830354e-05,1.5266889216534273e-06,0.0010086880693291119,0.00012172832302075023,2.867673698257438e-07,2.244956758552414e-05,4.395779817576406e-05,0.0024677240757119087,0.00024257013708082673,1.2689233744196435e-05,7.690587908513782e-06
Solomon Islands,0.00031119996079010965,0.00031667678473865004,6.949468926293484e-06,0.0003605642246685926,0.0001418519931017568,0.002167960797596559,3.6141182178085033e-06,0.0011584291940252521,0.0007532898664462949,0.0004102507926464455,0.00030650220116001085,0.007027097454131538,0.0015201052684213096,0.0010021572623163325,0.0053882714507737794,0.0005712553592918475,0.011237577290202706,0.0025105749360536914,0.0003255809615734415,0.011586810951906903,0.007155557880163248,6.843176593355116e-05,0.0007168219238712158,0.0006914955376721151,0.0007121297469149323,0.0012775487308742596,3.137649902368208e-06,0.010173038308699492
Somalia,0.00019050580726419567,8.072488900670894e-05,6.403540132254157e-06,2.692050845125206e-06,0.00020119877496096848,0.0008371704265296171,0.0020252594263380675,7.828127458348001e-05,0.0002697346219718321,0.00012586571708802933,8.51140661076974e-05,0.000662126149842161,2.107867280239062e-06,0.0013196934165067167,0.0001816549578586993,0.001767085992410566,0.003590970261601371,0.0014138829874936216,8.336659739583811e-05,0.00024989772259031783,2.127654165812564e-05,0.00019125900281870395,0.001417067118114447,0.004794274373380675,0.001359677515340327,0.00021676489568079913,1.2051298146151342e-08,0.00021415408031813385
South Africa,3.2900255233272885e-05,4.172741446035037e-05,0.00013748333586731894,0.00034292319224720456,0.0044855947217127285,0.0011353687406864194,5.198814110402725e-05,0.000722767002438893,0.0002136545819668789,0.0012103723882261935,0.020930494257752265,0.0028997917289569908,0.0004844067874904776,6.359277715103452e-05,0.0022546262592642416,0.0029993957659545673,0.0056628440060177716,0.005603273976389678,0.0006572030962699811,5.440492581732793e-05,0.03314144787284908,0.020846894997777504,0.0032983761188932455,0.01094820548538823,0.0068823444256286325,0.014218794443468918,2.680459398859684e-05,0.09431682251042531
